source,target,count
Denmark,Poland,2087
Poland,Denmark,2087
Denmark,Polish academy of sciences,7
Polish academy of sciences,Denmark,7
Denmark,Portugal,276
Portugal,Denmark,276
Denmark,Qatar,55
Qatar,Denmark,55
Denmark,Queen's university,3
Queen's university,Denmark,3
Denmark,Rand drug policy research center,5
Rand drug policy research center,Denmark,5
Denmark,Republic of karachai-cherkessia,11
Republic of karachai-cherkessia,Denmark,11
Denmark,Research institute of the evangelical lutheran church of finland,10
Research institute of the evangelical lutheran church of finland,Denmark,10
Denmark,Romania,636
Romania,Denmark,636
Denmark,Russian federation,18898
Russian federation,Denmark,18898
Denmark,Russian language teaching methodology institute of philology of moscow state pedagogical university,2
Russian language teaching methodology institute of philology of moscow state pedagogical university,Denmark,2
Denmark,Saudi arabia,43
Saudi arabia,Denmark,43
Denmark,School of architecture,6
School of architecture,Denmark,6
Denmark,School of arts &amp,14
School of arts &amp,Denmark,14
Denmark,School of humanities and social sciences,15
School of humanities and social sciences,Denmark,15
Denmark,School of modern languages,29
School of modern languages,Denmark,29
Denmark,Senegal,25
Senegal,Denmark,25
Denmark,Serbia,115
Serbia,Denmark,115
Denmark,She is a fellow at the european foundation for democracy. she earned her ph.d. at george mason university,10
She is a fellow at the european foundation for democracy. she earned her ph.d. at george mason university,Denmark,10
Denmark,Singapore,339
Singapore,Denmark,339
Denmark,Slovakia,258
Slovakia,Denmark,258
Denmark,Slovenia,219
Slovenia,Denmark,219
Denmark,Soas,12
Soas,Denmark,12
Denmark,South africa,375
South africa,Denmark,375
Denmark,South korea,508
South korea,Denmark,508
Denmark,Southeast missouri state university,4
Southeast missouri state university,Denmark,4
Denmark,Spain,768
Spain,Denmark,768
Denmark,Sri lanka,8
Sri lanka,Denmark,8
Denmark,St. david's university college,13
St. david's university college,Denmark,13
Denmark,Stanford university,4
Stanford university,Denmark,4
Denmark,Sweden,2772
Sweden,Denmark,2772
Denmark,Switzerland,1406
Switzerland,Denmark,1406
Denmark,Syrian arab republic,5
Syrian arab republic,Denmark,5
Denmark,Taiwan,95
Taiwan,Denmark,95
Denmark,Tajikistan,84
Tajikistan,Denmark,84
Denmark,Tallinn university,10
Tallinn university,Denmark,10
Denmark,Tanzania,17
Tanzania,Denmark,17
Denmark,Tatar state humanitarian and pedagogical university,2
Tatar state humanitarian and pedagogical university,Denmark,2
Denmark,Technical university of berlin,10
Technical university of berlin,Denmark,10
Denmark,Technische universität münchen,1
Technische universität münchen,Denmark,1
Denmark,Texas a and m university,5
Texas a and m university,Denmark,5
Denmark,Texas aandm university-corpus christi,2
Texas aandm university-corpus christi,Denmark,2
Denmark,Thailand,14
Thailand,Denmark,14
Denmark,The birsk branch of the bashkir state university,3
The birsk branch of the bashkir state university,Denmark,3
Denmark,The george washington university,5
The george washington university,Denmark,5
Denmark,The new school for social research,44
The new school for social research,Denmark,44
Denmark,The “bath house readings”,5
The “bath house readings”,Denmark,5
Denmark,Transylvania university,11
Transylvania university,Denmark,11
Denmark,Trinidad and tobago,29
Trinidad and tobago,Denmark,29
Denmark,Tu chemnitz,1
Tu chemnitz,Denmark,1
Denmark,Tunisia,39
Tunisia,Denmark,39
Denmark,Turkey,1167
Turkey,Denmark,1167
Denmark,Turkmenistan,17
Turkmenistan,Denmark,17
Denmark,Tuvalu,4
Tuvalu,Denmark,4
Denmark,U.s. naval academy,5
U.s. naval academy,Denmark,5
Denmark,Uit: the arctic university of norway,7
Uit: the arctic university of norway,Denmark,7
Denmark,Uk,2
Uk,Denmark,2
Denmark,Ukraine,2361
Ukraine,Denmark,2361
Denmark,Umr 7220,20
Umr 7220,Denmark,20
Denmark,United arab emirates,141
United arab emirates,Denmark,141
Denmark,United kingdom,21235
United kingdom,Denmark,21235
Denmark,United states,41628
United states,Denmark,41628
Denmark,United states holocaust memorial museum,6
United states holocaust memorial museum,Denmark,6
Denmark,Universidad de sevilla,4
Universidad de sevilla,Denmark,4
Denmark,University at albany state university of new york,6
University at albany state university of new york,Denmark,6
Denmark,University of arizona,5
University of arizona,Denmark,5
Denmark,University of birmingham,8
University of birmingham,Denmark,8
Denmark,University of bologna,14
University of bologna,Denmark,14
Denmark,University of bristol,16
University of bristol,Denmark,16
Denmark,University of kansas,9
University of kansas,Denmark,9
Denmark,University of london,24
University of london,Denmark,24
Denmark,University of manchester,11
University of manchester,Denmark,11
Denmark,University of miami school of architecture,5
University of miami school of architecture,Denmark,5
Denmark,University of minnesota,14
University of minnesota,Denmark,14
Denmark,University of north texas,10
University of north texas,Denmark,10
Denmark,University of pittsburgh,28
University of pittsburgh,Denmark,28
Denmark,University of southampton,12
University of southampton,Denmark,12
Denmark,University of tarbiat modares,8
University of tarbiat modares,Denmark,8
Denmark,University of toronto,10
University of toronto,Denmark,10
Denmark,University of tulsa,8
University of tulsa,Denmark,8
Denmark,University of turin,18
University of turin,Denmark,18
Denmark,University of tübingen,7
University of tübingen,Denmark,7
Denmark,University of washington,31
University of washington,Denmark,31
Denmark,University of wisconsin-madison,5
University of wisconsin-madison,Denmark,5
Denmark,University of wolverhampton,15
University of wolverhampton,Denmark,15
Denmark,University of wyoming,3
University of wyoming,Denmark,3
Denmark,Univerzita konštantína filozofa v nitre filozofická fakulta,11
Univerzita konštantína filozofa v nitre filozofická fakulta,Denmark,11
Denmark,Uniwersytet europejski viadrina we frankfurcie n. odra&cedil,3
Uniwersytet europejski viadrina we frankfurcie n. odra&cedil,Denmark,3
Denmark,Uniwersytet jagielloński w krakowie,6
Uniwersytet jagielloński w krakowie,Denmark,6
Denmark,Uppsala university,39
Uppsala university,Denmark,39
Denmark,Us department of state,15
Us department of state,Denmark,15
Denmark,Uzbekistan,244
Uzbekistan,Denmark,244
Denmark,Viet nam,80
Viet nam,Denmark,80
Denmark,Villanova university,2
Villanova university,Denmark,2
Denmark,Vytautas magnus university,3
Vytautas magnus university,Denmark,3
Denmark,World bank,21
World bank,Denmark,21
Denmark,York university,3
York university,Denmark,3
Denmark,Zambia,2
Zambia,Denmark,2
Denmark,empty,25732
empty,Denmark,25732
Denmark,États-unis d'amérique,10
États-unis d'amérique,Denmark,10
Departament de filologia anglesa i alemanya,Australia,2
Australia,Departament de filologia anglesa i alemanya,2
Departament de filologia anglesa i alemanya,Canada,2
Canada,Departament de filologia anglesa i alemanya,2
Departament de filologia anglesa i alemanya,Chile,1
Chile,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,China,1
China,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Czech republic,1
Czech republic,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Denmark,1
Denmark,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Estonia,1
Estonia,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Finland,1
Finland,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Germany,30
Germany,Departament de filologia anglesa i alemanya,30
Departament de filologia anglesa i alemanya,Ireland,2
Ireland,Departament de filologia anglesa i alemanya,2
Departament de filologia anglesa i alemanya,Italy,1
Italy,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Japan,2
Japan,Departament de filologia anglesa i alemanya,2
Departament de filologia anglesa i alemanya,Poland,2
Poland,Departament de filologia anglesa i alemanya,2
Departament de filologia anglesa i alemanya,Russian federation,8
Russian federation,Departament de filologia anglesa i alemanya,8
Departament de filologia anglesa i alemanya,Spain,2
Spain,Departament de filologia anglesa i alemanya,2
Departament de filologia anglesa i alemanya,Sweden,1
Sweden,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Tajikistan,1
Tajikistan,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Texas a and m university,1
Texas a and m university,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Turkey,1
Turkey,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,Ukraine,3
Ukraine,Departament de filologia anglesa i alemanya,3
Departament de filologia anglesa i alemanya,United kingdom,11
United kingdom,Departament de filologia anglesa i alemanya,11
Departament de filologia anglesa i alemanya,United states,25
United states,Departament de filologia anglesa i alemanya,25
Departament de filologia anglesa i alemanya,Viet nam,1
Viet nam,Departament de filologia anglesa i alemanya,1
Departament de filologia anglesa i alemanya,empty,10
empty,Departament de filologia anglesa i alemanya,10
Department for the humanities,Adam mickiewicz university in poznań,1
Adam mickiewicz university in poznań,Department for the humanities,1
Department for the humanities,Belarus,1
Belarus,Department for the humanities,1
Department for the humanities,Center for the history of literature,1
Center for the history of literature,Department for the humanities,1
Department for the humanities,Chile,1
Chile,Department for the humanities,1
Department for the humanities,College of letters and science,1
College of letters and science,Department for the humanities,1
Department for the humanities,Columbia university,1
Columbia university,Department for the humanities,1
Department for the humanities,Estonia,35
Estonia,Department for the humanities,35
Department for the humanities,Finland,47
Finland,Department for the humanities,47
Department for the humanities,France,18
France,Department for the humanities,18
Department for the humanities,Georgia,7
Georgia,Department for the humanities,7
Department for the humanities,Germany,71
Germany,Department for the humanities,71
Department for the humanities,Hong kong,3
Hong kong,Department for the humanities,3
Department for the humanities,Hungary,9
Hungary,Department for the humanities,9
Department for the humanities,India,2
India,Department for the humanities,2
Department for the humanities,Israel,16
Israel,Department for the humanities,16
Department for the humanities,Italy,14
Italy,Department for the humanities,14
Department for the humanities,Kazakhstan,22
Kazakhstan,Department for the humanities,22
Department for the humanities,Latvia,8
Latvia,Department for the humanities,8
Department for the humanities,Lithuania,13
Lithuania,Department for the humanities,13
Department for the humanities,Nazarbayev university,1
Nazarbayev university,Department for the humanities,1
Department for the humanities,Netherlands,19
Netherlands,Department for the humanities,19
Department for the humanities,New zealand,5
New zealand,Department for the humanities,5
Department for the humanities,Norway,9
Norway,Department for the humanities,9
Department for the humanities,Poland,12
Poland,Department for the humanities,12
Department for the humanities,Romania,5
Romania,Department for the humanities,5
Department for the humanities,Russian federation,271
Russian federation,Department for the humanities,271
Department for the humanities,South korea,4
South korea,Department for the humanities,4
Department for the humanities,Spain,3
Spain,Department for the humanities,3
Department for the humanities,Sweden,17
Sweden,Department for the humanities,17
Department for the humanities,Switzerland,10
Switzerland,Department for the humanities,10
Department for the humanities,Tajikistan,1
Tajikistan,Department for the humanities,1
Department for the humanities,The new school for social research,2
The new school for social research,Department for the humanities,2
Department for the humanities,The “bath house readings”,1
The “bath house readings”,Department for the humanities,1
Department for the humanities,Turkey,6
Turkey,Department for the humanities,6
Department for the humanities,Ukraine,28
Ukraine,Department for the humanities,28
Department for the humanities,Umr 7220,1
Umr 7220,Department for the humanities,1
Department for the humanities,United arab emirates,2
United arab emirates,Department for the humanities,2
Department for the humanities,United kingdom,145
United kingdom,Department for the humanities,145
Department for the humanities,United states,337
United states,Department for the humanities,337
Department for the humanities,University of london,1
University of london,Department for the humanities,1
Department for the humanities,University of washington,2
University of washington,Department for the humanities,2
Department for the humanities,University of wolverhampton,1
University of wolverhampton,Department for the humanities,1
Department for the humanities,Uniwersytet jagielloński w krakowie,1
Uniwersytet jagielloński w krakowie,Department for the humanities,1
Department for the humanities,empty,224
empty,Department for the humanities,224
Department of anthropology,Afghanistan,2
Afghanistan,Department of anthropology,2
Department of anthropology,Belarus,4
Belarus,Department of anthropology,4
Department of anthropology,Brazil,2
Brazil,Department of anthropology,2
Department of anthropology,Canada (fax: +1 613 788 4064),1
Canada (fax: +1 613 788 4064),Department of anthropology,1
Department of anthropology,Chile,1
Chile,Department of anthropology,1
Department of anthropology,Cnrs paris-berlin,1
Cnrs paris-berlin,Department of anthropology,1
Department of anthropology,Communication studies program at concordia university,1
Communication studies program at concordia university,Department of anthropology,1
Department of anthropology,Cyprus,3
Cyprus,Department of anthropology,3
Department of anthropology,Denmark,9
Denmark,Department of anthropology,9
Department of anthropology,Egypt,2
Egypt,Department of anthropology,2
Department of anthropology,Estonia,44
Estonia,Department of anthropology,44
Department of anthropology,Finland,42
Finland,Department of anthropology,42
Department of anthropology,France,46
France,Department of anthropology,46
Department of anthropology,Georgia,12
Georgia,Department of anthropology,12
Department of anthropology,Germany,96
Germany,Department of anthropology,96
Department of anthropology,Greece,7
Greece,Department of anthropology,7
Department of anthropology,Hong kong,6
Hong kong,Department of anthropology,6
Department of anthropology,Hungary,14
Hungary,Department of anthropology,14
Department of anthropology,Iceland,1
Iceland,Department of anthropology,1
Department of anthropology,India,10
India,Department of anthropology,10
Department of anthropology,Institut de recherche pour le développement (ird),1
Institut de recherche pour le développement (ird),Department of anthropology,1
Department of anthropology,Institut für slawistik und hungarologie,1
Institut für slawistik und hungarologie,Department of anthropology,1
Department of anthropology,Iraq,2
Iraq,Department of anthropology,2
Department of anthropology,Ireland,14
Ireland,Department of anthropology,14
Department of anthropology,Israel,49
Israel,Department of anthropology,49
Department of anthropology,Italy,25
Italy,Department of anthropology,25
Department of anthropology,Japan,15
Japan,Department of anthropology,15
Department of anthropology,Kazakhstan,58
Kazakhstan,Department of anthropology,58
Department of anthropology,Kuwait,1
Kuwait,Department of anthropology,1
Department of anthropology,Kyrgyzstan,9
Kyrgyzstan,Department of anthropology,9
Department of anthropology,Laboratoire de recherche historique rhône-alpes (larhra),1
Laboratoire de recherche historique rhône-alpes (larhra),Department of anthropology,1
Department of anthropology,Latvia,14
Latvia,Department of anthropology,14
Department of anthropology,Lithuania,32
Lithuania,Department of anthropology,32
Department of anthropology,Malaysia,2
Malaysia,Department of anthropology,2
Department of anthropology,Nazarbayev university,1
Nazarbayev university,Department of anthropology,1
Department of anthropology,Netherlands,33
Netherlands,Department of anthropology,33
Department of anthropology,New zealand,9
New zealand,Department of anthropology,9
Department of anthropology,Norway,16
Norway,Department of anthropology,16
Department of anthropology,Pakistan,4
Pakistan,Department of anthropology,4
Department of anthropology,Poland,25
Poland,Department of anthropology,25
Department of anthropology,Portugal,3
Portugal,Department of anthropology,3
Department of anthropology,Qatar,1
Qatar,Department of anthropology,1
Department of anthropology,Queen's university,1
Queen's university,Department of anthropology,1
Department of anthropology,Romania,7
Romania,Department of anthropology,7
Department of anthropology,Russian federation,221
Russian federation,Department of anthropology,221
Department of anthropology,Singapore,7
Singapore,Department of anthropology,7
Department of anthropology,Slovakia,4
Slovakia,Department of anthropology,4
Department of anthropology,South africa,7
South africa,Department of anthropology,7
Department of anthropology,South korea,7
South korea,Department of anthropology,7
Department of anthropology,Spain,10
Spain,Department of anthropology,10
Department of anthropology,Sweden,46
Sweden,Department of anthropology,46
Department of anthropology,Switzerland,16
Switzerland,Department of anthropology,16
Department of anthropology,Taiwan,1
Taiwan,Department of anthropology,1
Department of anthropology,Tajikistan,1
Tajikistan,Department of anthropology,1
Department of anthropology,Technical university of berlin,1
Technical university of berlin,Department of anthropology,1
Department of anthropology,The george washington university,1
The george washington university,Department of anthropology,1
Department of anthropology,Tunisia,1
Tunisia,Department of anthropology,1
Department of anthropology,Turkey,18
Turkey,Department of anthropology,18
Department of anthropology,Ukraine,29
Ukraine,Department of anthropology,29
Department of anthropology,United kingdom,260
United kingdom,Department of anthropology,260
Department of anthropology,United states,494
United states,Department of anthropology,494
Department of anthropology,University of pittsburgh,1
University of pittsburgh,Department of anthropology,1
Department of anthropology,University of southampton,1
University of southampton,Department of anthropology,1
Department of anthropology,Uniwersytet europejski viadrina we frankfurcie n. odra&cedil,1
Uniwersytet europejski viadrina we frankfurcie n. odra&cedil,Department of anthropology,1
Department of anthropology,Uzbekistan,6
Uzbekistan,Department of anthropology,6
Department of anthropology,empty,330
empty,Department of anthropology,330
Department of constitutional and municipal law of kutafin moscow state law university (msla),Germany,1
Germany,Department of constitutional and municipal law of kutafin moscow state law university (msla),1
Department of constitutional and municipal law of kutafin moscow state law university (msla),Kazakhstan,5
Kazakhstan,Department of constitutional and municipal law of kutafin moscow state law university (msla),5
Department of constitutional and municipal law of kutafin moscow state law university (msla),Russian federation,31
Russian federation,Department of constitutional and municipal law of kutafin moscow state law university (msla),31
Department of constitutional and municipal law of kutafin moscow state law university (msla),Ukraine,4
Ukraine,Department of constitutional and municipal law of kutafin moscow state law university (msla),4
Department of constitutional and municipal law of kutafin moscow state law university (msla),United states,13
United states,Department of constitutional and municipal law of kutafin moscow state law university (msla),13
Department of constitutional and municipal law of kutafin moscow state law university (msla),empty,15
empty,Department of constitutional and municipal law of kutafin moscow state law university (msla),15
Department of economic and social geography of russia,Armenia,2
Armenia,Department of economic and social geography of russia,2
Department of economic and social geography of russia,Azerbaijan,1
Azerbaijan,Department of economic and social geography of russia,1
Department of economic and social geography of russia,Belgium,2
Belgium,Department of economic and social geography of russia,2
Department of economic and social geography of russia,Berliner kolleg fur vergleichende geschichte europas,1
Berliner kolleg fur vergleichende geschichte europas,Department of economic and social geography of russia,1
Department of economic and social geography of russia,Canada,6
Canada,Department of economic and social geography of russia,6
Department of economic and social geography of russia,Canada (fax: +1 613 788 4064),1
Canada (fax: +1 613 788 4064),Department of economic and social geography of russia,1
Department of economic and social geography of russia,Denmark,7
Denmark,Department of economic and social geography of russia,7
Department of economic and social geography of russia,Department of economic and social geography of russia,3
Department of economic and social geography of russia,Estonia,34
Estonia,Department of economic and social geography of russia,34
Department of economic and social geography of russia,Finland,13
Finland,Department of economic and social geography of russia,13
Department of economic and social geography of russia,France,28
France,Department of economic and social geography of russia,28
Department of economic and social geography of russia,Germany,77
Germany,Department of economic and social geography of russia,77
Department of economic and social geography of russia,Hong kong,3
Hong kong,Department of economic and social geography of russia,3
Department of economic and social geography of russia,Hungary,9
Hungary,Department of economic and social geography of russia,9
Department of economic and social geography of russia,India,4
India,Department of economic and social geography of russia,4
Department of economic and social geography of russia,Israel,14
Israel,Department of economic and social geography of russia,14
Department of economic and social geography of russia,Italy,16
Italy,Department of economic and social geography of russia,16
Department of economic and social geography of russia,Japan,8
Japan,Department of economic and social geography of russia,8
Department of economic and social geography of russia,Kazakhstan,37
Kazakhstan,Department of economic and social geography of russia,37
Department of economic and social geography of russia,Kyrgyzstan,2
Kyrgyzstan,Department of economic and social geography of russia,2
Department of economic and social geography of russia,Latvia,4
Latvia,Department of economic and social geography of russia,4
Department of economic and social geography of russia,Lithuania,3
Lithuania,Department of economic and social geography of russia,3
Department of economic and social geography of russia,Ludwig-maximilians university munich,2
Ludwig-maximilians university munich,Department of economic and social geography of russia,2
Department of economic and social geography of russia,Mexico,3
Mexico,Department of economic and social geography of russia,3
Department of economic and social geography of russia,Moldova,6
Moldova,Department of economic and social geography of russia,6
Department of economic and social geography of russia,Netherlands,22
Netherlands,Department of economic and social geography of russia,22
Department of economic and social geography of russia,New zealand,5
New zealand,Department of economic and social geography of russia,5
Department of economic and social geography of russia,Norway,14
Norway,Department of economic and social geography of russia,14
Department of economic and social geography of russia,Poland,13
Poland,Department of economic and social geography of russia,13
Department of economic and social geography of russia,Russian federation,698
Russian federation,Department of economic and social geography of russia,698
Department of economic and social geography of russia,School of modern languages,1
School of modern languages,Department of economic and social geography of russia,1
Department of economic and social geography of russia,Slovakia,2
Slovakia,Department of economic and social geography of russia,2
Department of economic and social geography of russia,South africa,2
South africa,Department of economic and social geography of russia,2
Department of economic and social geography of russia,South korea,1
South korea,Department of economic and social geography of russia,1
Department of economic and social geography of russia,Spain,3
Spain,Department of economic and social geography of russia,3
Department of economic and social geography of russia,Sweden,18
Sweden,Department of economic and social geography of russia,18
Department of economic and social geography of russia,Switzerland,18
Switzerland,Department of economic and social geography of russia,18
Department of economic and social geography of russia,Turkey,1
Turkey,Department of economic and social geography of russia,1
Department of economic and social geography of russia,Ukraine,41
Ukraine,Department of economic and social geography of russia,41
Department of economic and social geography of russia,United kingdom,106
United kingdom,Department of economic and social geography of russia,106
Department of economic and social geography of russia,United states,202
United states,Department of economic and social geography of russia,202
Department of economic and social geography of russia,University of wolverhampton,1
University of wolverhampton,Department of economic and social geography of russia,1
Department of economic and social geography of russia,empty,251
empty,Department of economic and social geography of russia,251
Department of meimo,Belarus,1
Belarus,Department of meimo,1
Department of meimo,Chatham house,1
Chatham house,Department of meimo,1
Department of meimo,Colombia,1
Colombia,Department of meimo,1
Department of meimo,Croatia,2
Croatia,Department of meimo,2
Department of meimo,Denmark,6
Denmark,Department of meimo,6
Department of meimo,Estonia,12
Estonia,Department of meimo,12
Department of meimo,Finland,14
Finland,Department of meimo,14
Department of meimo,France,16
France,Department of meimo,16
Department of meimo,Georgia,8
Georgia,Department of meimo,8
Department of meimo,Germany,56
Germany,Department of meimo,56
Department of meimo,Greece,3
Greece,Department of meimo,3
Department of meimo,Hong kong,3
Hong kong,Department of meimo,3
Department of meimo,Hungary,5
Hungary,Department of meimo,5
Department of meimo,Inalco,1
Inalco,Department of meimo,1
Department of meimo,India,7
India,Department of meimo,7
Department of meimo,Indonesia,2
Indonesia,Department of meimo,2
Department of meimo,International centre for the history and sociology of world war ii and its consequences,1
International centre for the history and sociology of world war ii and its consequences,Department of meimo,1
Department of meimo,Ireland,4
Ireland,Department of meimo,4
Department of meimo,Israel,7
Israel,Department of meimo,7
Department of meimo,Italy,15
Italy,Department of meimo,15
Department of meimo,Japan,4
Japan,Department of meimo,4
Department of meimo,Kazakhstan,12
Kazakhstan,Department of meimo,12
Department of meimo,Kyrgyzstan,2
Kyrgyzstan,Department of meimo,2
Department of meimo,Latvia,4
Latvia,Department of meimo,4
Department of meimo,Lithuania,6
Lithuania,Department of meimo,6
Department of meimo,Luxembourg,1
Luxembourg,Department of meimo,1
Department of meimo,Malaysia,5
Malaysia,Department of meimo,5
Department of meimo,Mexico,1
Mexico,Department of meimo,1
Department of meimo,Mongolia,2
Mongolia,Department of meimo,2
Department of meimo,Netherlands,16
Netherlands,Department of meimo,16
Department of meimo,New zealand,2
New zealand,Department of meimo,2
Department of meimo,Norway,3
Norway,Department of meimo,3
Department of meimo,Pakistan,3
Pakistan,Department of meimo,3
Department of meimo,Poland,11
Poland,Department of meimo,11
Department of meimo,Portugal,1
Portugal,Department of meimo,1
Department of meimo,Research institute of the evangelical lutheran church of finland,1
Research institute of the evangelical lutheran church of finland,Department of meimo,1
Department of meimo,Romania,3
Romania,Department of meimo,3
Department of meimo,Russian federation,149
Russian federation,Department of meimo,149
Department of meimo,Saudi arabia,1
Saudi arabia,Department of meimo,1
Department of meimo,Singapore,2
Singapore,Department of meimo,2
Department of meimo,Slovenia,2
Slovenia,Department of meimo,2
Department of meimo,South africa,6
South africa,Department of meimo,6
Department of meimo,South korea,5
South korea,Department of meimo,5
Department of meimo,Sweden,10
Sweden,Department of meimo,10
Department of meimo,Switzerland,4
Switzerland,Department of meimo,4
Department of meimo,Taiwan,1
Taiwan,Department of meimo,1
Department of meimo,Tunisia,1
Tunisia,Department of meimo,1
Department of meimo,Turkey,2
Turkey,Department of meimo,2
Department of meimo,Ukraine,21
Ukraine,Department of meimo,21
Department of meimo,United kingdom,138
United kingdom,Department of meimo,138
Department of meimo,United states,222
United states,Department of meimo,222
Department of meimo,Uzbekistan,1
Uzbekistan,Department of meimo,1
Department of meimo,empty,156
empty,Department of meimo,156
Department of official publications and normative documents,United states,4
United states,Department of official publications and normative documents,4
Department of official publications and normative documents,empty,1
empty,Department of official publications and normative documents,1
Department of sociology,Albania,1
Albania,Department of sociology,1
Department of sociology,Bangladesh,1
Bangladesh,Department of sociology,1
Department of sociology,Belarus,1
Belarus,Department of sociology,1
Department of sociology,Bosnia and herzegovina,1
Bosnia and herzegovina,Department of sociology,1
Department of sociology,Bulgaria,3
Bulgaria,Department of sociology,3
Department of sociology,Cameroon,1
Cameroon,Department of sociology,1
Department of sociology,Cnrs paris-berlin,1
Cnrs paris-berlin,Department of sociology,1
Department of sociology,College of ndu,1
College of ndu,Department of sociology,1
Department of sociology,Croatia,3
Croatia,Department of sociology,3
Department of sociology,Cyprus,1
Cyprus,Department of sociology,1
Department of sociology,Durham university,1
Durham university,Department of sociology,1
Department of sociology,Ecuador,2
Ecuador,Department of sociology,2
Department of sociology,Egypt,2
Egypt,Department of sociology,2
Department of sociology,Estonia,33
Estonia,Department of sociology,33
Department of sociology,Finland,41
Finland,Department of sociology,41
Department of sociology,France,35
France,Department of sociology,35
Department of sociology,Georgia,19
Georgia,Department of sociology,19
Department of sociology,German multinational company,1
German multinational company,Department of sociology,1
Department of sociology,Germany,137
Germany,Department of sociology,137
Department of sociology,Greece,10
Greece,Department of sociology,10
Department of sociology,Hong kong,3
Hong kong,Department of sociology,3
Department of sociology,Hungary,15
Hungary,Department of sociology,15
Department of sociology,Iceland,1
Iceland,Department of sociology,1
Department of sociology,Independent researcher,1
Independent researcher,Department of sociology,1
Department of sociology,India,11
India,Department of sociology,11
Department of sociology,Indonesia,1
Indonesia,Department of sociology,1
Department of sociology,International centre for the history and sociology of world war ii and its consequences,1
International centre for the history and sociology of world war ii and its consequences,Department of sociology,1
Department of sociology,Iran,5
Iran,Department of sociology,5
Department of sociology,Iraq,1
Iraq,Department of sociology,1
Department of sociology,Ireland,7
Ireland,Department of sociology,7
Department of sociology,Israel,40
Israel,Department of sociology,40
Department of sociology,Italy,34
Italy,Department of sociology,34
Department of sociology,Japan,22
Japan,Department of sociology,22
Department of sociology,Kazakhstan,47
Kazakhstan,Department of sociology,47
Department of sociology,Kuwait,1
Kuwait,Department of sociology,1
Department of sociology,Kyrgyzstan,8
Kyrgyzstan,Department of sociology,8
Department of sociology,Latvia,9
Latvia,Department of sociology,9
Department of sociology,Lithuania,23
Lithuania,Department of sociology,23
Department of sociology,Luxembourg,1
Luxembourg,Department of sociology,1
Department of sociology,Madagascar,3
Madagascar,Department of sociology,3
Department of sociology,Malta,2
Malta,Department of sociology,2
Department of sociology,Mexico,6
Mexico,Department of sociology,6
Department of sociology,Moldova,1
Moldova,Department of sociology,1
Department of sociology,Mongolia,3
Mongolia,Department of sociology,3
Department of sociology,Morocco,1
Morocco,Department of sociology,1
Department of sociology,National institute of water and atmospheric research (niwa,1
National institute of water and atmospheric research (niwa,Department of sociology,1
Department of sociology,Netherlands,38
Netherlands,Department of sociology,38
Department of sociology,New zealand,7
New zealand,Department of sociology,7
Department of sociology,Nigeria,4
Nigeria,Department of sociology,4
Department of sociology,Norway,26
Norway,Department of sociology,26
Department of sociology,Pakistan,3
Pakistan,Department of sociology,3
Department of sociology,Philippines,1
Philippines,Department of sociology,1
Department of sociology,Poland,33
Poland,Department of sociology,33
Department of sociology,Portugal,4
Portugal,Department of sociology,4
Department of sociology,Rand drug policy research center,1
Rand drug policy research center,Department of sociology,1
Department of sociology,Romania,12
Romania,Department of sociology,12
Department of sociology,Russian federation,277
Russian federation,Department of sociology,277
Department of sociology,Senegal,1
Senegal,Department of sociology,1
Department of sociology,Singapore,4
Singapore,Department of sociology,4
Department of sociology,Slovakia,3
Slovakia,Department of sociology,3
Department of sociology,Slovenia,2
Slovenia,Department of sociology,2
Department of sociology,South africa,5
South africa,Department of sociology,5
Department of sociology,South korea,8
South korea,Department of sociology,8
Department of sociology,Spain,9
Spain,Department of sociology,9
Department of sociology,Sweden,59
Sweden,Department of sociology,59
Department of sociology,Switzerland,28
Switzerland,Department of sociology,28
Department of sociology,Tajikistan,1
Tajikistan,Department of sociology,1
Department of sociology,Tanzania,1
Tanzania,Department of sociology,1
Department of sociology,Turkey,20
Turkey,Department of sociology,20
Department of sociology,Turkmenistan,1
Turkmenistan,Department of sociology,1
Department of sociology,U.s. naval academy,1
U.s. naval academy,Department of sociology,1
Department of sociology,Ukraine,39
Ukraine,Department of sociology,39
Department of sociology,United arab emirates,3
United arab emirates,Department of sociology,3
Department of sociology,United kingdom,305
United kingdom,Department of sociology,305
Department of sociology,United states,606
United states,Department of sociology,606
Department of sociology,University of pittsburgh,1
University of pittsburgh,Department of sociology,1
Department of sociology,University of turin,1
University of turin,Department of sociology,1
Department of sociology,Uzbekistan,7
Uzbekistan,Department of sociology,7
